@relation beansData

@attribute LENGTH REAL
@attribute BREADTH REAL
@attribute WIDTH REAL
@attribute NAME {BIG_DRUM,SMALL_DRUM,oloyin_beans,MILK_BEANS}

@data
9.98,6.97,6.82,BIG_DRUM
9.88,6.73,5.97,BIG_DRUM
10.05,7.55,6.92,BIG_DRUM
10.63,7.45,7.22,BIG_DRUM
9.19,6.94,6.60,BIG_DRUM
9.58,7.05,6.97,BIG_DRUM
11.55,6.82,6.65,BIG_DRUM
10.01,7.31,7.26,BIG_DRUM
10.13,7.28,6.87,BIG_DRUM
8.58,7.06,6.90,BIG_DRUM
9.67,7.23,6.76,BIG_DRUM
10.04,7.72,6.15,BIG_DRUM
10.57,9.22,7.81,BIG_DRUM
9.90,7.11,6.18,BIG_DRUM
8.99,7.15,6.99,BIG_DRUM
11.05,8.13,7.84,BIG_DRUM
9.28,7.15,6.87,BIG_DRUM
9.72,7.54,7.41,BIG_DRUM
11.01,8.03,7.63,BIG_DRUM
8.99,7.14,6.99,BIG_DRUM
9.98,7.02,6.37,BIG_DRUM
10.63,7.28,7.22,BIG_DRUM
9.42,6.79,7.91,BIG_DRUM
8.89,7.02,6.91,BIG_DRUM
9.88,7.62,7.17,BIG_DRUM
8.88,7.25,7.12,BIG_DRUM
9.77,6.54,6.34,BIG_DRUM
8.89,7.15,6.91,BIG_DRUM
10.54,7.07,6.15,BIG_DRUM
9.91,7.35,6.92,BIG_DRUM
9.08,7.12,6.16,BIG_DRUM
10.15,8.12,7.14,BIG_DRUM
10.60,7.54,7.20,BIG_DRUM
8.19,6.92,6.71,BIG_DRUM
8.79,7.19,6.95,BIG_DRUM
9.04,7.75,6.90,BIG_DRUM
11.04,7.18,7.12,BIG_DRUM
8.13,6.19,6.12,BIG_DRUM
8.95,7.46,7.30,BIG_DRUM
8.61,6.66,6.14,BIG_DRUM
9.67,7.21,6.76,BIG_DRUM
9.42,7.79,7.10,BIG_DRUM
10.14,8.23,7.90,BIG_DRUM
9.64,7.11,6.95,BIG_DRUM
11.05,7.91,7.72,BIG_DRUM
8.89,7.27,6.89,BIG_DRUM
7.79,6.18,6.01,BIG_DRUM
9.41,7.22,7.04,BIG_DRUM
9.14,7.97,7.26,BIG_DRUM
9.61,7.12,6.89,BIG_DRUM
8.74,6.9,6.75,BIG_DRUM
10.11,7.82,7.51,BIG_DRUM
9.92,6.42,6.01,BIG_DRUM
9.22,7.14,6.99,BIG_DRUM
8.51,6.65,5.59,BIG_DRUM
9.56,7.14,5.99,BIG_DRUM
9.44,7.01,5.84,BIG_DRUM
9.81,7.61,6.94,BIG_DRUM
9.72,7.72,5.72,BIG_DRUM
8.16,7,6.79,BIG_DRUM
8.54,7.16,6.91,BIG_DRUM
